Price
20.0
85.0
25.0
20.0
78.0
45.0
60.0
190.0
45.0
120.0
25.0
95.0
50.0
69.0
100.0
18.0
200.0
310.0
68.0
69.0
180.0
75.0
16.0
125.0
37.0
110.0
17.0
80.0
25.0
70.0
25.0
29.0
16.0
63.0
26.0
134.0
57.0
25.0
45.0
90.0
110.0
75.0
35.0
120.0
35.0
40.0
45.0
35.0
22.0
21.0
300.0
32.0
79.0
30.0
49.0
170.0
59.0
25.0
23.0
49.0
16.0
33.0
110.0
25.0
35.0
25.0
25.0
48.0
26.0
55.0
500.0
20.0
180.0
41.0
59.0
35.0
50.0
35.0
30.0
45.0
18.0
65.0
25.0
50.0
85.0
32.0
70.0
35.0
33.0
110.0
73.0
35.0
110.0
25.0
24.0
139.0
60.0
100.0
27.0
166.0
50.0
15.0
40.0
69.0
69.0
59.0
40.0
32.0
80.0
65.0
75.0
119.0
49.0
30.0
29.0
64.0
23.0
59.0
30.0
93.0
82.0
40.0
45.0
47.0
30.0
90.0
36.0
70.0
94.0
25.0
25.0
70.0
60.0
140.0
36.0
30.0
50.0
25.0
35.0
40.0
45.0
120.0
88.0
40.0
28.0
55.0
90.0
75.0
50.0
75.0
63.0
25.0
100.0
75.0
19.0
25.0
58.0
18.0
29.0
89.0
90.0
49.0
85.0
44.0
113.0
20.0
200.0
36.0
20.0
220.0
16.0
55.0
125.0
25.0
45.0
60.0
30.0
70.0
11.0
74.0
145.0
42.0
20.0
39.0
45.0
110.0
16.0
60.0
140.0
68.0
60.0
24.0
45.0
70.0
55.0
100.0
39.0
70.0
140.0
14.0
254.0
39.0
47.0
64.0
21.0
89.0
100.0
455.0
35.0
50.0
20.0
30.0
70.0
60.0
70.0
90.0
109.0
45.0
75.0
21.0
92.0
180.0
16.0
68.0
90.0
70.0
15.0
110.0
70.0
25.0
16.0
220.0
250.0
180.0
26.0
60.0
59.0
20.0
70.0
45.0
45.0
39.0
75.0
30.0
85.0
49.0
14.0
35.0
12.0
36.0
50.0
45.0
24.0
32.0
60.0
50.0
20.0
25.0
35.0
119.0
60.0
70.0
32.0
65.0
75.0
110.0
28.0
33.0
155.0
77.0
43.0
135.0
75.0
70.0
75.0
19.0
75.0
60.0
65.0
20.0
72.0
20.0
38.0
65.0
70.0
75.0
33.0
47.0
30.0
90.0
70.0
79.0
170.0
55.0
89.0
36.0
525.0
110.0
28.0
25.0
90.0
258.0
60.0
22.0
28.0
54.0
87.0
42.0
32.0
35.0
60.0
70.0
80.0
70.0
113.0
25.0
146.0
180.0
68.0
21.0
40.0
70.0
130.0
49.0
83.0
18.0
28.0
140.0
87.0
220.0
31.0
30.0
39.0
100.0
19.0
40.0
30.0
18.0
66.0
95.0
45.0
60.0
55.0
90.0
130.0
60.0
20.0
20.0
22.0
26.0
57.0
100.0
69.0
209.0
70.0
80.0
20.0
63.0
33.0
40.0
45.0
50.0
155.0
21.0
69.0
30.0
80.0
89.0
149.0
25.0
78.0
18.0
60.0
36.0
28.0
62.0
110.0
68.0
40.0
20.0
110.0
27.0
30.0
180.0
50.0
27.0
30.0
40.0
40.0
25.0
55.0
48.0
143.0
30.0
260.0
58.0
110.0
11.0
28.0
25.0
115.0
100.0
75.0
49.0
27.0
19.0
70.0
37.0
16.0
30.0
70.0
22.0
90.0
37.0
25.0
18.0
58.0
95.0
65.0
75.0
70.0
65.0
20.0
37.0
34.0
60.0
65.0
135.0
50.0
59.0
110.0
100.0
115.0
90.0
34.0
38.0
35.0
33.0
100.0
15.0
120.0
87.0
95.0
30.0
100.0
58.0
70.0
58.0
23.0
129.0
26.0
85.0
70.0
16.0
25.0
135.0
30.0
130.0
74.0
109.0
60.0
85.0
24.0
29.0
115.0
25.0
54.0
75.0
66.0
26.0
70.0
120.0
80.0
35.0
50.0
130.0
35.0
30.0
18.0
60.0
120.0
85.0
33.0
19.0
35.0
120.0
55.0
40.0
70.0
40.0
40.0
95.0
23.0
33.0
45.0
25.0
