Host Response Time,Host Response Rate,Host Listings Count,Host Total Listings Count,Accommodates,Bathrooms,Bedrooms,Beds,Weekly Price,Monthly Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Availability 30,Availability 60,Availability 90,Availability 365,Number of Reviews,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Calculated host listings count,Reviews per Month,total_words,house_rules_words,days_since_calendar_updated,days_host_since,days_since_last_scraped,days_since_first_review,days_since_last_review,season,host_verified,distance_km,neighbourhood_price,has_weekly_price,has_monthly_price,Property Type_price_encoded,Room Type_price_encoded,Bed Type_price_encoded,total_amenities,amenity_wireless_internet,amenity_internet,amenity_kitchen,amenity_heating,amenity_essentials,amenity_washer,amenity_tv,amenity_hot_tub,amenity_pool,amenity_gym,amenity_cable_tv,amenity_free_parking_on_premises,amenity_pets_allowed,cancellation_price_encoded
24,0.79,6.0,6.0,1,1.0,1.0,1.0,999999.0,999999.0,0.0,15.0,1,15,3,1125,0,0,0,275,14,84.0,9.0,8.0,8.0,9.0,10.0,8.0,5.0,0.46,263,186,1,1458,1,923,203,1,1,0.7469864397735912,60.0,0,0,55.0,29.0,52.0,9,1,1,1,1,1,1,0,0,0,0,0,0,0,60.0
1,1.0,3.0,3.0,6,2.0,3.0,4.0,999999.0,999999.0,150.0,50.0,1,0,3,1125,4,9,34,309,4,90.0,8.0,8.0,10.0,9.0,9.0,9.0,3.0,0.66,391,451,1,1078,1,182,28,1,1,1.8554800591459393,41.0,0,0,55.0,72.0,52.0,16,1,1,1,1,1,1,1,0,0,0,0,0,0,60.0
3,1.0,68.0,68.0,4,2.0,2.0,4.0,999999.0,999999.0,0.0,250.0,1,0,5,1125,21,21,21,273,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.0,0.0,349,0,2,713,1,999,999,1,1,1.7524340709091462,100.0,0,0,38.0,72.0,52.0,20,1,1,1,1,1,1,1,0,0,0,1,0,0,60.0
1,1.0,3.0,3.0,6,1.0,2.0,2.0,999999.0,999999.0,100.0,30.0,2,10,2,1125,15,45,75,76,14,87.0,9.0,9.0,10.0,10.0,9.0,8.0,3.0,0.83,60,51,2,641,1,504,23,1,1,6.173758151199652,59.5,0,0,55.0,72.0,52.0,18,1,1,1,1,1,1,1,0,0,0,0,0,0,55.0
1,1.0,3.0,3.0,3,1.0,0.0,1.0,459.0,1597.0,100.0,15.0,3,15,3,40,16,31,57,79,52,93.0,10.0,10.0,10.0,10.0,10.0,9.0,3.0,2.41,294,299,1,653,1,647,35,1,1,0.3228525992747939,70.0,1,1,55.0,72.0,52.0,12,1,1,1,1,1,1,1,0,0,0,0,0,0,55.0
1,1.0,5.0,5.0,16,6.0,10.0,16.0,999999.0,999999.0,300.0,35.0,8,12,1,1125,2,10,13,259,15,84.0,8.0,9.0,9.0,9.0,9.0,9.0,5.0,1.4,91,0,2,453,1,322,21,1,1,0.2088894115410028,78.0,0,0,55.0,72.0,52.0,14,1,1,1,1,1,1,1,0,0,0,0,0,0,60.0
1,1.0,5.0,5.0,4,1.0,1.0,2.0,550.0,1350.0,100.0,20.0,1,0,2,28,13,29,41,312,53,90.0,9.0,9.0,9.0,10.0,10.0,9.0,5.0,1.48,89,444,1,1105,1,1071,6,1,1,0.6807310871783623,60.0,1,1,55.0,72.0,52.0,17,1,1,1,1,1,1,1,0,0,0,0,0,1,60.0
24,0.9,2.0,2.0,1,2.0,1.0,1.0,999999.0,999999.0,0.0,10.0,1,0,2,1125,0,0,0,98,14,93.0,10.0,10.0,9.0,9.0,9.0,9.0,2.0,1.2,150,44,1,743,1,349,39,1,1,8.871390919264188,35.0,0,0,38.0,29.0,52.0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,60.0
3,1.0,15.0,15.0,6,1.0,2.0,4.0,999999.0,999999.0,0.0,30.0,2,5,1,1125,15,41,67,333,4,95.0,10.0,10.0,10.0,10.0,9.0,9.0,15.0,0.34,89,0,1,442,1,354,175,1,1,1.4571802133203844,60.0,0,0,55.0,72.0,52.0,19,1,1,1,1,1,1,1,0,0,0,0,0,0,40.0
3,1.0,10.0,10.0,7,1.0,2.0,4.0,999999.0,999999.0,0.0,20.0,3,9,1,1125,5,28,54,326,91,84.0,9.0,9.0,10.0,10.0,8.0,9.0,9.0,1.86,283,126,2,1888,1,1469,24,1,1,4.331522392113683,30.0,0,0,55.0,72.0,52.0,12,1,1,1,1,1,1,1,0,0,0,0,0,1,55.0
1,1.0,15.0,15.0,4,1.0,1.0,2.0,999999.0,999999.0,300.0,40.0,2,20,3,1125,3,16,28,176,14,97.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,1.22,402,451,1,1432,1,344,41,1,1,0.21629725557636523,78.0,0,0,55.0,72.0,52.0,20,1,1,1,1,1,1,1,0,0,0,0,0,0,60.0
999,0.0,1.0,1.0,1,1.0,1.0,1.0,999999.0,999999.0,0.0,10.0,1,0,7,60,30,60,90,365,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,95,0,1,1062,1,999,999,1,1,3.2518313757762196,33.5,0,0,55.0,29.0,52.0,14,1,1,1,1,1,1,1,0,0,0,1,0,0,60.0
3,0.93,3.0,3.0,5,1.0,2.0,4.0,999999.0,999999.0,0.0,25.0,1,20,1,5,5,15,24,296,25,96.0,9.0,9.0,10.0,9.0,10.0,9.0,2.0,2.5,316,183,1,1911,1,300,19,1,1,0.5981633060579389,50.0,0,0,55.0,72.0,52.0,19,1,1,1,1,1,1,1,0,0,0,1,0,0,60.0
24,0.88,2.0,2.0,1,1.0,1.0,1.0,999999.0,999999.0,0.0,6.0,1,0,2,1125,26,56,86,176,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,0.88,271,38,1,1305,1,68,28,1,1,1.4047244832631411,38.0,0,0,55.0,29.0,52.0,15,1,1,1,1,1,1,1,0,0,0,0,0,1,55.0
