triangulos_suma,Cleaning Fee,Bathrooms,Bedrooms,Room Type_price_encoded
1.791759469228055,-0.6777444230718055,0.25,0.1,29.0
1.6094379124341003,-0.44628025794180193,0.125,0.1,72.0
1.5040773967762742,-0.6777444230718055,0.1875,0.1,29.0
1.6094379124341003,-0.6777444230718055,0.125,0.1,29.0
1.6094379124341003,0.24811223744820873,0.125,0.1,72.0
1.9459101490553132,-0.2148160928117984,0.125,0.1,72.0
1.6094379124341003,-0.2148160928117984,0.125,0.1,72.0
3.068052935133617,0.24811223744820873,0.3125,0.4,72.0
1.3862943611198906,-0.44628025794180193,0.125,0.0,72.0
1.6094379124341003,0.24811223744820873,0.125,0.1,72.0
1.6094379124341003,-0.6777444230718055,0.125,0.1,29.0
2.4849066497880004,1.173968897968223,0.25,0.2,72.0
2.3978952727983707,-0.44628025794180193,0.125,0.2,72.0
1.9459101490553132,-0.44628025794180193,0.125,0.1,72.0
2.0794415416798357,0.24811223744820873,0.125,0.1,72.0
1.3862943611198906,-0.44628025794180193,0.125,0.1,29.0
2.70805020110221,1.173968897968223,0.25,0.30000000000000004,72.0
2.4849066497880004,10.432535503168365,0.25,0.2,72.0
2.3978952727983707,0.24811223744820873,0.125,0.2,72.0
1.6094379124341003,-0.44628025794180193,0.125,0.0,72.0
3.871201010907891,0.47957640257821227,0.75,1.0,72.0
2.0794415416798357,-0.2148160928117984,0.125,0.1,72.0
1.6094379124341003,-0.6777444230718055,0.25,0.1,29.0
2.5649493574615367,0.24811223744820873,0.125,0.2,72.0
2.6390573296152584,-0.2148160928117984,0.125,0.2,72.0
2.0794415416798357,0.7110405677082159,0.125,0.1,72.0
1.3862943611198906,-0.6777444230718055,0.125,0.1,29.0
2.4849066497880004,0.01664807231820517,0.125,0.2,72.0
1.3862943611198906,-0.8629157551758083,0.125,0.1,29.0
1.791759469228055,0.24811223744820873,0.125,0.1,72.0
1.791759469228055,-0.6777444230718055,0.25,0.1,29.0
1.3862943611198906,-0.770330089123807,0.125,0.1,29.0
1.3862943611198906,-0.6777444230718055,0.125,0.1,29.0
1.9459101490553132,0.01664807231820517,0.125,0.1,72.0
1.3862943611198906,-0.770330089123807,0.125,0.1,29.0
2.302585092994046,0.24811223744820873,0.125,0.2,72.0
2.0794415416798357,-0.44628025794180193,0.125,0.1,72.0
1.3862943611198906,-0.909208588201809,0.125,0.1,29.0
1.3862943611198906,-0.2148160928117984,0.125,0.0,72.0
2.0794415416798357,0.24811223744820873,0.125,0.1,72.0
2.3978952727983707,1.173968897968223,0.25,0.2,72.0
2.0794415416798357,0.38699073652621085,0.125,0.1,72.0
1.6094379124341003,0.01664807231820517,0.125,0.0,72.0
2.1972245773362196,0.01664807231820517,0.125,0.2,72.0
1.9459101490553132,-0.6777444230718055,0.125,0.1,29.0
1.791759469228055,-0.2148160928117984,0.125,0.1,72.0
1.6094379124341003,-0.6777444230718055,0.125,0.1,72.0
1.6094379124341003,-0.6777444230718055,0.125,0.1,29.0
1.6094379124341003,-0.6777444230718055,0.125,0.1,29.0
1.3862943611198906,-0.6777444230718055,0.125,0.1,29.0
3.5409593240373143,2.099825558488237,0.6875,0.5,72.0
2.8903717578961645,-0.6777444230718055,0.625,0.1,29.0
2.1972245773362196,0.24811223744820873,0.125,0.1,72.0
1.3862943611198906,-0.6777444230718055,0.125,0.1,29.0
1.6094379124341003,-0.2148160928117984,0.125,0.1,72.0
2.8903717578961645,0.24811223744820873,0.25,0.30000000000000004,72.0
1.6094379124341003,-0.6777444230718055,0.125,0.1,72.0
1.6094379124341003,-0.6777444230718055,0.25,0.1,29.0
1.6094379124341003,-0.6777444230718055,0.125,0.1,29.0
1.6094379124341003,-0.6777444230718055,0.125,0.1,72.0
1.6094379124341003,-0.6777444230718055,0.125,0.1,29.0
1.3862943611198906,-0.6777444230718055,0.125,0.1,29.0
2.0794415416798357,0.7110405677082159,0.125,0.2,72.0
2.3513752571634776,-0.6777444230718055,0.3125,0.1,29.0
1.791759469228055,-0.6777444230718055,0.25,0.1,29.0
1.6094379124341003,-0.6777444230718055,0.125,0.1,29.0
1.3862943611198906,-0.6777444230718055,0.125,0.1,29.0
1.791759469228055,-0.8629157551758083,0.125,0.1,29.0
1.791759469228055,-0.6777444230718055,0.125,0.1,29.0
1.791759469228055,-0.2148160928117984,0.25,0.1,29.0
3.5263605246161616,3.488610549268259,0.625,0.5,72.0
1.6094379124341003,-0.6777444230718055,0.125,0.1,29.0
2.6026896854443837,0.24811223744820873,0.3125,0.2,72.0
2.1972245773362196,0.24811223744820873,0.25,0.2,72.0
2.1400661634962708,0.7110405677082159,0.1875,0.1,72.0
1.3862943611198906,-0.6777444230718055,0.125,0.1,29.0
2.1972245773362196,-0.6777444230718055,0.25,0.2,29.0
1.6094379124341003,-0.6777444230718055,0.125,0.1,29.0
1.791759469228055,-0.6777444230718055,0.125,0.1,29.0
1.6094379124341003,-0.2148160928117984,0.125,0.1,29.0
1.6094379124341003,-0.6777444230718055,0.125,0.1,29.0
2.0794415416798357,-0.2148160928117984,0.125,0.1,72.0
1.6094379124341003,-0.909208588201809,0.125,0.1,29.0
1.3862943611198906,0.24811223744820873,0.125,0.0,72.0
2.5649493574615367,0.24811223744820873,0.25,0.2,72.0
2.1972245773362196,-0.6777444230718055,0.625,0.1,29.0
1.6094379124341003,0.24811223744820873,0.125,0.1,72.0
1.791759469228055,-0.6777444230718055,0.25,0.1,29.0
1.3862943611198906,0.01664807231820517,0.125,0.0,72.0
2.6390573296152584,0.24811223744820873,0.125,0.2,72.0
1.6094379124341003,-0.6777444230718055,0.125,0.1,29.0
1.3862943611198906,-0.6777444230718055,0.125,0.1,29.0
2.302585092994046,0.24811223744820873,0.25,0.2,72.0
1.3862943611198906,-0.6777444230718055,0.125,0.1,29.0
2.1972245773362196,-0.6777444230718055,0.0,0.1,20.0
2.4849066497880004,0.01664807231820517,0.125,0.2,72.0
2.0794415416798357,0.24811223744820873,0.125,0.1,72.0
2.4849066497880004,0.24811223744820873,0.125,0.2,72.0
1.6094379124341003,-0.770330089123807,0.125,0.1,72.0
2.6026896854443837,0.24811223744820873,0.1875,0.30000000000000004,72.0
1.9459101490553132,0.01664807231820517,0.125,0.1,72.0
1.3862943611198906,-0.6777444230718055,0.125,0.1,29.0
1.6094379124341003,0.24811223744820873,0.125,0.1,29.0
2.0794415416798357,0.6647477346822152,0.125,0.1,72.0
2.302585092994046,0.7110405677082159,0.125,0.1,72.0
2.0794415416798357,0.24811223744820873,0.125,0.1,72.0
1.6094379124341003,-0.6777444230718055,0.125,0.1,29.0
1.3862943611198906,0.01664807231820517,0.125,0.1,29.0
2.70805020110221,0.7110405677082159,0.25,0.2,72.0
2.5649493574615367,0.24811223744820873,0.125,0.30000000000000004,72.0
2.0794415416798357,0.24811223744820873,0.125,0.1,72.0
1.9459101490553132,0.24811223744820873,0.125,0.1,72.0
2.0794415416798357,-0.2148160928117984,0.125,0.1,29.0
1.6094379124341003,-0.6777444230718055,0.125,0.1,29.0
1.791759469228055,-0.909208588201809,0.125,0.1,29.0
2.1972245773362196,-0.2148160928117984,0.125,0.2,72.0
1.6094379124341003,-0.6777444230718055,0.125,0.1,29.0
